end_lat,Conteo_geographic_pos,end_lng,member_casual
41.75,3,-87.56,member
41.75,4,-87.55,casual
41.75,2,-87.55,member
41.750794,25,-87.624424,casual
41.750794,11,-87.624424,member
41.75094,15,-87.61379,casual
41.75094,2,-87.61379,member
41.751173,4,-87.585337,casual
41.751173,2,-87.585337,member
41.751294,4,-87.597552,casual
41.751731,10,-87.552812,casual
41.751731,25,-87.552812,member
41.751785,15,-87.578496,casual
41.751785,7,-87.578496,member
41.75182,12,-87.565211,casual
41.75182,33,-87.565211,member
41.75220485,11,-87.66369939,casual
41.75220485,1,-87.66369939,member
41.752205,3,-87.663699,casual
41.75248701,14,-87.64390216,casual
41.75248701,11,-87.64390216,member
41.753174,3,-87.605026,casual
41.753174,12,-87.605026,member
41.756971,7,-87.624621,casual
41.75712,7,-87.575839,casual
41.75712007,12,-87.57583936,casual
41.75712007,7,-87.57583936,member
41.757871,3,-87.549386,casual
41.75787145,12,-87.54938625,casual
41.75787145,18,-87.54938625,member
41.75797,7,-87.63121,casual
41.758361,8,-87.614138,casual
41.758361,1,-87.614138,member
41.75849,10,-87.60641,casual
41.75849,12,-87.60641,member
41.75866967,17,-87.58688287,casual
41.75866967,12,-87.58688287,member
41.75867,5,-87.586883,casual
41.758768,9,-87.56644,casual
41.758768,16,-87.56644,member
41.75916,3,-87.595751,casual
41.75916,1,-87.595751,member
41.759236,1,-87.663474,casual
41.75923602,3,-87.66347408,casual
41.75923602,1,-87.66347408,member
41.75927404,2,-87.67363429,member
41.76,1,-87.72,casual
41.76,1,-87.71,member
41.76,3,-87.69,casual
41.76,5,-87.68,casual
41.76,5,-87.68,member
41.76,8,-87.67,casual
41.76,1,-87.67,member
41.76,7,-87.66,casual
41.76,7,-87.66,member
41.76,4,-87.65,casual
41.76,10,-87.65,member
41.76,6,-87.64,casual
41.76,8,-87.64,member
41.76,9,-87.63,casual
41.76,6,-87.63,member
41.76,4,-87.62,casual
41.76,12,-87.61,casual
41.76,4,-87.61,member
41.76,7,-87.6,casual
41.76,3,-87.6,member
41.76,4,-87.59,casual
41.76,2,-87.59,member
41.76,10,-87.58,casual
41.76,3,-87.58,member
41.76,7,-87.57,casual
41.76,11,-87.57,member
41.76,26,-87.56,casual
41.76,4,-87.56,member
41.76,4,-87.55,casual
41.761605,1,-87.644161,casual
41.76160544,8,-87.64416098,casual
41.76160544,15,-87.64416098,member
41.76218896,29,-87.55927465,casual
41.76218896,17,-87.55927465,member
41.762189,4,-87.559275,casual
41.765286,8,-87.621748,casual
41.765286,1,-87.621748,member
41.76550801,4,-87.61691793,casual
41.76550801,1,-87.61691793,member
41.765719,1,-87.60496,casual
41.76571904,13,-87.60495971,casual
41.76571904,7,-87.60495971,member
41.766,2,-87.611726,casual
41.766,1,-87.611726,member
41.766409,7,-87.565688,casual
41.76640946,64,-87.56568757,casual
41.76640946,85,-87.56568757,member
41.76649294,24,-87.58646088,casual
41.76649294,11,-87.58646088,member
41.766493,1,-87.586461,casual
41.766638,7,-87.57645,casual
41.76663824,19,-87.57645011,casual
41.76663824,16,-87.57645011,member
41.768898,14,-87.635876,casual
41.768898,1,-87.635876,member
41.768938,5,-87.652934,casual
41.768938,17,-87.652934,member
41.76906172,4,-87.64461358,casual
41.76906172,3,-87.64461358,member
41.769062,3,-87.644614,casual
41.76929309,10,-87.62819593,casual
41.76929309,12,-87.62819593,member
