ride_length,Conteo_ridelength,member_casual
00:05:37,1823,casual
00:05:37,4107,member
00:05:38,1782,casual
00:05:38,4125,member
00:05:39,1774,casual
00:05:39,4109,member
00:05:40,1738,casual
00:05:40,4228,member
00:05:41,1831,casual
00:05:41,4118,member
00:05:42,1787,casual
00:05:42,4063,member
00:05:43,1855,casual
00:05:43,4139,member
00:05:44,1895,casual
00:05:44,4096,member
00:05:45,1842,casual
00:05:45,4026,member
00:05:46,1790,casual
00:05:46,4152,member
00:05:47,1814,casual
00:05:47,4162,member
00:05:48,1791,casual
00:05:48,4223,member
00:05:49,1939,casual
00:05:49,4063,member
00:05:50,1854,casual
00:05:50,4171,member
00:05:51,1845,casual
00:05:51,4045,member
00:05:52,1736,casual
00:05:52,4167,member
00:05:53,1855,casual
00:05:53,4028,member
00:05:54,1856,casual
00:05:54,4109,member
00:05:55,1821,casual
00:05:55,4030,member
00:05:56,1798,casual
00:05:56,3995,member
00:05:57,1841,casual
00:05:57,4008,member
00:05:58,1742,casual
00:05:58,3960,member
00:05:59,1890,casual
00:05:59,4114,member
00:06:00,1866,casual
00:06:00,4003,member
00:06:01,1815,casual
00:06:01,3979,member
00:06:02,1796,casual
00:06:02,3924,member
00:06:03,1814,casual
00:06:03,4099,member
00:06:04,1846,casual
00:06:04,4012,member
00:06:05,1846,casual
00:06:05,3970,member
00:06:06,1924,casual
00:06:06,4023,member
00:06:07,1774,casual
00:06:07,4013,member
00:06:08,1921,casual
00:06:08,4038,member
00:06:09,1811,casual
00:06:09,3975,member
00:06:10,1915,casual
00:06:10,3930,member
00:06:11,1876,casual
00:06:11,3887,member
00:06:12,1870,casual
00:06:12,3871,member
00:06:13,1881,casual
00:06:13,3937,member
00:06:14,1832,casual
00:06:14,3913,member
00:06:15,1843,casual
00:06:15,3863,member
00:06:16,1899,casual
00:06:16,3886,member
00:06:17,1877,casual
00:06:17,3950,member
00:06:18,1865,casual
00:06:18,3859,member
00:06:19,1904,casual
00:06:19,3929,member
00:06:20,1830,casual
00:06:20,3915,member
00:06:21,1823,casual
00:06:21,3998,member
00:06:22,1851,casual
00:06:22,3919,member
00:06:23,1882,casual
00:06:23,3953,member
00:06:24,1819,casual
00:06:24,3918,member
00:06:25,1840,casual
00:06:25,3912,member
00:06:26,1885,casual
00:06:26,3843,member
00:06:27,1955,casual
00:06:27,3896,member
00:06:28,1817,casual
00:06:28,3883,member
00:06:29,1844,casual
00:06:29,3885,member
00:06:30,1828,casual
00:06:30,3940,member
00:06:31,1859,casual
00:06:31,3843,member
00:06:32,1866,casual
00:06:32,3784,member
00:06:33,1916,casual
00:06:33,3844,member
00:06:34,1911,casual
00:06:34,3846,member
00:06:35,1835,casual
00:06:35,3893,member
00:06:36,1855,casual
00:06:36,3914,member
00:06:37,1859,casual
00:06:37,3743,member
00:06:38,1876,casual
00:06:38,4013,member
00:06:39,1888,casual
00:06:39,3924,member
00:06:40,1861,casual
00:06:40,3915,member
00:06:41,1883,casual
00:06:41,3761,member
00:06:42,1845,casual
00:06:42,3812,member
00:06:43,1886,casual
00:06:43,3779,member
00:06:44,1899,casual
00:06:44,3802,member
00:06:45,1971,casual
00:06:45,3847,member
00:06:46,1892,casual
00:06:46,3731,member
00:06:47,1876,casual
00:06:47,3748,member
00:06:48,1780,casual
00:06:48,3777,member
00:06:49,1764,casual
00:06:49,3702,member
00:06:50,1969,casual
00:06:50,3742,member
00:06:51,1864,casual
00:06:51,3784,member
00:06:52,1900,casual
00:06:52,3642,member
00:06:53,1924,casual
00:06:53,3729,member
00:06:54,1886,casual
00:06:54,3868,member
00:06:55,1857,casual
00:06:55,3663,member
00:06:56,1857,casual
00:06:56,3626,member
00:06:57,1890,casual
00:06:57,3682,member
00:06:58,1861,casual
00:06:58,3698,member
00:06:59,1797,casual
00:06:59,3652,member
00:07:00,1964,casual
00:07:00,3638,member
00:07:01,1904,casual
00:07:01,3685,member
00:07:02,1917,casual
00:07:02,3735,member
00:07:03,2001,casual
00:07:03,3615,member
00:07:04,1942,casual
00:07:04,3664,member
00:07:05,1919,casual
00:07:05,3696,member
00:07:06,1949,casual
00:07:06,3665,member
00:07:07,1848,casual
00:07:07,3696,member
00:07:08,1982,casual
00:07:08,3593,member
00:07:09,1923,casual
00:07:09,3680,member
00:07:10,1873,casual
00:07:10,3576,member
00:07:11,2026,casual
00:07:11,3427,member
00:07:12,1958,casual
00:07:12,3642,member
00:07:13,1890,casual
00:07:13,3583,member
00:07:14,1877,casual
00:07:14,3655,member
00:07:15,1852,casual
00:07:15,3516,member
00:07:16,1908,casual
00:07:16,3682,member
00:07:17,1866,casual
00:07:17,3551,member
00:07:18,1931,casual
00:07:18,3502,member
00:07:19,1881,casual
00:07:19,3439,member
00:07:20,1887,casual
00:07:20,3485,member
00:07:21,1900,casual
00:07:21,3458,member
00:07:22,1856,casual
00:07:22,3634,member
00:07:23,1929,casual
00:07:23,3438,member
00:07:24,1985,casual
00:07:24,3507,member
00:07:25,1942,casual
00:07:25,3531,member
00:07:26,1982,casual
00:07:26,3392,member
00:07:27,1898,casual
00:07:27,3529,member
00:07:28,1890,casual
00:07:28,3585,member
00:07:29,1988,casual
00:07:29,3510,member
00:07:30,1889,casual
00:07:30,3393,member
00:07:31,1865,casual
00:07:31,3549,member
00:07:32,1933,casual
00:07:32,3544,member
00:07:33,1938,casual
00:07:33,3481,member
00:07:34,1836,casual
00:07:34,3462,member
00:07:35,1840,casual
00:07:35,3469,member
00:07:36,1843,casual
00:07:36,3381,member
00:07:37,1878,casual
00:07:37,3427,member
00:07:38,1984,casual
00:07:38,3486,member
00:07:39,1904,casual
00:07:39,3423,member
